"grid_x","grid_y","avg_vx","avg_vy","grid_id","final_grid","num_hops","status","result"
64,80,0.757916291554769,-0.716599782307943,"64,80",NA,3,"Failure","NA, 3, Failure"
64,81,0.362508058547974,0.378719329833984,"64,81","53,45",18,"Success","53,45, 18, Success"
65,3,-1.00125360488892,3.48875188827515,"65,3","58,44",10,"Success","58,44, 10, Success"
65,4,-1.53756955464681,4.36884390513102,"65,4","53,45",13,"Success","53,45, 13, Success"
65,5,-1.22868982950846,3.72466731071472,"65,5","58,44",11,"Success","58,44, 11, Success"
65,6,-1.29350900650024,4.38545016447703,"65,6","58,44",12,"Success","58,44, 12, Success"
65,7,-0.782997786998749,4.35945862531662,"65,7","58,44",12,"Success","58,44, 12, Success"
65,8,-1.0477382183075,3.91282625198364,"65,8","58,44",12,"Success","58,44, 12, Success"
65,9,-0.700921087554007,3.50701979434851,"65,9","54,45",16,"Success","54,45, 16, Success"
65,10,-1.03360509872437,3.95950281620026,"65,10","54,45",13,"Success","54,45, 13, Success"
65,11,-1.50902523994446,3.82669668197632,"65,11","58,44",10,"Success","58,44, 10, Success"
65,12,-0.610180603830438,2.79988364169472,"65,12","54,45",15,"Success","54,45, 15, Success"
65,13,-1.16035885281033,2.60655726326836,"65,13","54,45",13,"Success","54,45, 13, Success"
65,14,-1.17086905020255,3.19733902260109,"65,14","58,44",12,"Success","58,44, 12, Success"
65,15,-0.789114570617676,2.75367446475559,"65,15","61,27",3,"Success","61,27, 3, Success"
65,16,-0.373908795808491,2.3275647414358,"65,16","54,45",14,"Success","54,45, 14, Success"
65,17,-1.07423300492136,3.00623160914371,"65,17","54,45",12,"Success","54,45, 12, Success"
65,18,-0.531545639038086,1.87317507607596,"65,18","54,45",13,"Success","54,45, 13, Success"
65,19,0.277696418762207,4.11853885650635,"65,19","54,45",11,"Success","54,45, 11, Success"
65,21,-0.00444984436035156,1.68846638997396,"65,21","54,45",12,"Success","54,45, 12, Success"
65,22,0.399903297424316,0.955507278442383,"65,22","58,44",10,"Success","58,44, 10, Success"
65,23,-2.71810340881348,3.43052959442139,"65,23","58,41",7,"Success","58,41, 7, Success"
65,24,0.192119359970093,0.979641199111938,"65,24","54,45",11,"Success","54,45, 11, Success"
65,25,-0.363484902815385,1.63148065046831,"65,25","54,45",11,"Success","54,45, 11, Success"
65,26,-0.393796730041504,2.38103227615356,"65,26","54,45",10,"Success","54,45, 10, Success"
65,27,-0.463866670926412,1.92876426378886,"65,27","54,45",10,"Success","54,45, 10, Success"
65,28,-0.438140759101281,1.66330095437857,"65,28","54,45",10,"Success","54,45, 10, Success"
65,29,-0.509027929867015,1.17989057653091,"65,29","54,45",10,"Success","54,45, 10, Success"
65,30,0.0991922177766499,1.32040385196083,"65,30","58,44",7,"Success","58,44, 7, Success"
65,31,-0.758746331737888,1.09150335865636,"65,31","54,45",10,"Success","54,45, 10, Success"
65,32,0.20156546200023,1.28478162428912,"65,32","58,44",7,"Success","58,44, 7, Success"
